Stadtteil;Ortsteile;Bezirk;Fläche (km²);Einwohner;Bevölkerungsdichte (Einwohner/km²);Koordinaten;Karte
Hamburg-Altstadt;101–102;Hamburg-Mitte;2,4;2272;947;?53° 33? 0? N, 10° 0? 0? O;
HafenCity;103–104;Hamburg-Mitte;2,2;4592;2087;?53° 32? 28? N, 10° 0? 1? O;
Neustadt;105–108;Hamburg-Mitte;2,3;12.920;5617;?53° 33? 7? N, 9° 59? 8? O;
St. Pauli;109–112;Hamburg-Mitte;2,5;22.436;8974;?53° 33? 25? N, 9° 57? 50? O;
St. Georg;113–114;Hamburg-Mitte;2,4;11.384;4743;?53° 33? 18? N, 10° 0? 44? O;
Hammerbrook;115–118;Hamburg-Mitte;3;4323;1441;?53° 32? 43? N, 10° 1? 50? O;
Borgfelde;119–120;Hamburg-Mitte;0,8;7696;9620;?53° 33? 17? N, 10° 2? 4? O;
Hamm;121–127;Hamburg-Mitte;4;38.773;9693;?53° 33? 39? N, 10° 3? 28? O;
Horn;128–129;Hamburg-Mitte;5,9;38.799;6576;?53° 33? 14? N, 10° 5? 24? O;
Billstedt;130;Hamburg-Mitte;17;70.355;4139;?53° 32? 26? N, 10° 6? 4? O;
Billbrook;131;Hamburg-Mitte;6,1;1992;327;?53° 31? 40? N, 10° 5? 10? O;
Rothenburgsort;132–133;Hamburg-Mitte;7,4;9268;1252;?53° 32? 6? N, 10° 2? 27? O;
Veddel;134;Hamburg-Mitte;4,4;4632;1053;?53° 31? 0? N, 10° 2? 0? O;
Wilhelmsburg;135–137;Hamburg-Mitte;35,4;54.068;1527;?53° 29? 42? N, 10° 0? 40? O;
Kleiner Grasbrook;138;Hamburg-Mitte;4,5;1200;267;?53° 31? 52? N, 9° 59? 37? O;
Steinwerder;139;Hamburg-Mitte;7,4;39;5;?53° 32? 4? N, 9° 57? 26? O;
Waltershof;140;Hamburg-Mitte;9,8;0;0;?53° 31? 40? N, 9° 54? 2? O;
Finkenwerder;141;Hamburg-Mitte;19,7;11.808;599;?53° 31? 38? N, 9° 51? 58? O;
Neuwerk;142;Hamburg-Mitte;7,6;40;5;?53° 55? 16? N, 8° 30? 2? O;
Altona-Altstadt;201–206;Altona;2,8;29.305;10466;?53° 32? 56? N, 9° 56? 52? O;
Sternschanze;207;Altona;0,5;8095;16190;?53° 33? 42? N, 9° 57? 44? O;
Altona-Nord;208–210;Altona;2,2;24.153;10979;?53° 33? 47? N, 9° 56? 43? O;
Ottensen;211–214;Altona;2,8;35.585;12709;?53° 33? 14? N, 9° 55? 4? O;
Bahrenfeld;215–217;Altona;10,6;29.976;2828;?53° 34? 26? N, 9° 53? 33? O;
Groß Flottbek;218;Altona;2,4;11.086;4619;?53° 33? 55? N, 9° 52? 39? O;
Othmarschen;219;Altona;6;15.591;2599;?53° 33? 10? N, 9° 53? 40? O;
Lurup;220;Altona;6,3;36.695;5825;?53° 35? 35? N, 9° 52? 58? O;
Osdorf;221;Altona;7,2;26.635;3699;?53° 34? 22? N, 9° 50? 48? O;
Nienstedten;222;Altona;4,3;7274;1692;?53° 33? 18? N, 9° 50? 41? O;
Blankenese;223–224;Altona;7,7;13.686;1777;?53° 33? 30? N, 9° 48? 40? O;
Iserbrook;225;Altona;2,7;11.369;4211;?53° 34? 35? N, 9° 49? 24? O;
Sülldorf;226;Altona;5,7;9489;1665;?53° 35? 6? N, 9° 47? 39? O;
Rissen;227;Altona;16,7;15.763;944;?53° 34? 59? N, 9° 45? 13? O;
Eimsbüttel;301–310;Eimsbüttel;3,3;58.196;17635;?53° 34? 33? N, 9° 57? 6? O;
Rotherbaum;311–312;Eimsbüttel;3;16.875;5625;?53° 34? 5? N, 9° 59? 18? O;
Harvestehude;313–314;Eimsbüttel;2,1;17.944;8545;?53° 34? 40? N, 9° 59? 20? O;
Hoheluft-West;315–316;Eimsbüttel;0,7;13.438;19197;?53° 34? 48? N, 9° 58? 2? O;
